,country,year,d_terror,preds,preds_proba
426,Malawi,2019,0,0,0.09464221315693425
427,Malawi,2020,0,0,0.09924215595701738
428,South Africa,2017,1,1,0.7138335846621772
429,South Africa,2018,1,1,0.7274914443377358
430,South Africa,2019,1,1,0.7352750729862154
431,South Africa,2020,1,1,0.6663001150918919
432,Namibia,2017,0,0,0.027999709738639376
433,Namibia,2018,0,0,0.029105904428904858
434,Namibia,2019,0,0,0.09680718120943121
435,Namibia,2020,0,0,0.027999709738639376
436,Lesotho,2017,0,0,0.08258611191951204
437,Lesotho,2018,0,0,0.08473754742271745
438,Lesotho,2019,0,0,0.19312779326384696
439,Lesotho,2020,0,0,0.07351595556704475
440,Botswana,2017,0,0,0.02065533562064626
441,Botswana,2018,0,0,0.03358769545921025
442,Botswana,2019,0,0,0.07468749551091013
443,Botswana,2020,0,0,0.026460533806115134
444,eSwatini,2017,0,0,0.034980331009541156
445,eSwatini,2018,0,0,0.03620943622094725
446,eSwatini,2019,0,0,0.07444230046248637
447,eSwatini,2020,0,0,0.04539348594703235
448,Madagascar,2017,0,0,0.3355563139209326
449,Madagascar,2018,0,0,0.3583054657216701
450,Madagascar,2019,0,0,0.35717602607494775
451,Madagascar,2020,0,0,0.33479343792602556
452,Comoros,2017,0,0,0.020186797218223303
453,Comoros,2018,0,0,0.027897148567955186
454,Comoros,2019,0,0,0.02829481506075442
455,Comoros,2020,0,0,0.02829481506075442
456,Mauritius,2017,0,0,0.01570118934568809
457,Mauritius,2018,0,0,0.015965446966140398
458,Mauritius,2019,0,0,0.016807384035953575
459,Mauritius,2020,0,0,0.003145586967076863
460,Morocco,2017,0,0,0.24174719689258284
461,Morocco,2018,1,0,0.2613107072436893
462,Morocco,2019,0,0,0.27434129863178447
463,Morocco,2020,0,0,0.2618277239981204
464,Algeria,2017,1,1,0.9312732544544969
465,Algeria,2018,1,1,0.9211311230859349
466,Algeria,2019,0,1,0.9211311230859349
467,Algeria,2020,1,1,0.9123555263938885
468,Tunisia,2017,1,1,0.6833483106225281
469,Tunisia,2018,1,1,0.7352356633962324
470,Tunisia,2019,1,1,0.7264371432987724
471,Tunisia,2020,1,1,0.6895678149471767
472,Libya,2017,1,1,0.502543593883823
473,Libya,2018,1,1,0.5907118466815691
474,Libya,2019,1,1,0.5617922486082488
475,Libya,2020,1,0,0.4711075645607329
476,Sudan,2017,1,1,0.9265668128011609
477,Sudan,2018,1,1,0.9235730043593436
478,Sudan,2019,1,1,0.9245394933019773
479,Sudan,2020,1,1,0.9300736447165295
480,South Sudan,2017,1,1,0.8354470208467828
481,South Sudan,2018,1,1,0.8284482220647331
482,South Sudan,2019,1,1,0.8284482220647331
483,South Sudan,2020,1,1,0.8299231483184203
484,Iran,2017,1,1,0.9449806819509668
485,Iran,2018,1,1,0.9416378411634359
486,Iran,2019,1,1,0.9339103005004037
487,Iran,2020,1,1,0.9143012963079439
488,Turkey,2017,1,1,0.9058367807769916
489,Turkey,2018,1,1,0.8592187643171737
490,Turkey,2019,1,1,0.8537980924344364
491,Turkey,2020,1,1,0.8502162171158353
492,Iraq,2017,1,1,0.8960423768408957
493,Iraq,2018,1,1,0.8840081137834024
494,Iraq,2019,1,1,0.9381264361075317
495,Iraq,2020,1,1,0.924613146963104
496,Egypt,2017,1,1,0.7480574722346159
497,Egypt,2018,1,1,0.7749640867255775
498,Egypt,2019,1,1,0.7753243177664436
499,Egypt,2020,1,1,0.763099300628479
500,Syria,2017,1,1,0.7644925249482156
501,Syria,2018,1,1,0.7567991844678292
502,Syria,2019,1,1,0.7511949335397701
503,Syria,2020,1,1,0.7688225903811363
504,Lebanon,2017,1,1,0.9065730279232397
505,Lebanon,2018,1,1,0.9187484020367833
506,Lebanon,2019,1,1,0.9323103010522222
507,Lebanon,2020,1,1,0.9228249928500999
508,Jordan,2017,1,1,0.6042035186977978
509,Jordan,2018,1,1,0.627080459811579
510,Jordan,2019,1,1,0.5995869886838036
511,Jordan,2020,0,1,0.5949871508284246
512,Israel,2017,1,1,0.9465717169020358
513,Israel,2018,1,1,0.9378893759425091
514,Israel,2019,1,1,0.9446509231465343
515,Israel,2020,1,1,0.9437560707030093
516,Saudi Arabia,2017,1,1,0.7969188661201524
517,Saudi Arabia,2018,1,1,0.7843770765429643
518,Saudi Arabia,2019,1,1,0.7951712540959917
519,Saudi Arabia,2020,0,1,0.7974563519031229
520,Yemen (North Yemen),2017,1,1,0.8842235026820493
521,Yemen (North Yemen),2018,1,1,0.7934180668722349
522,Yemen (North Yemen),2019,1,1,0.8878859021663524
523,Yemen (North Yemen),2020,1,1,0.8929249233993813
524,Kuwait,2017,0,0,0.3006352350997109
525,Kuwait,2018,0,0,0.3232936388650981
526,Kuwait,2019,0,0,0.3525265551703577
527,Kuwait,2020,0,0,0.3442383764467973
528,Bahrain,2017,1,1,0.660882570393243
529,Bahrain,2018,0,1,0.5792936769093125
530,Bahrain,2019,0,1,0.6356526759773778
531,Bahrain,2020,0,1,0.6368993398346612
532,Qatar,2017,0,0,0.1235716812768604
533,Qatar,2018,0,0,0.12404084706682263
534,Qatar,2019,0,0,0.12404084706682263
535,Qatar,2020,0,0,0.12652978511991997
536,United Arab Emirates,2017,0,0,0.08852455186627187
537,United Arab Emirates,2018,0,0,0.10591804517237585
538,United Arab Emirates,2019,0,0,0.07759868446916547
539,United Arab Emirates,2020,0,0,0.07207306426353231
540,Oman,2017,0,0,0.042385235375206935
541,Oman,2018,0,0,0.044843445798019126
542,Oman,2019,0,0,0.044843445798019126
543,Oman,2020,0,0,0.042322261639666826
544,Afghanistan,2017,1,1,0.9453169554586967
545,Afghanistan,2018,1,1,0.9687685258732835
546,Afghanistan,2019,1,1,0.9651405811778612
547,Afghanistan,2020,1,1,0.9587838632890636
548,Turkmenistan,2017,0,0,0.014360556001920191
549,Turkmenistan,2018,0,0,0.015613827454888894
550,Turkmenistan,2019,0,0,0.058046857358808414
551,Turkmenistan,2020,0,0,0.06538456436465702
552,Tajikistan,2017,1,1,0.7509530932897236
553,Tajikistan,2018,1,1,0.762754502440375
554,Tajikistan,2019,1,1,0.775602271515098
555,Tajikistan,2020,0,1,0.7683041041407981
556,Kyrgyzstan,2017,1,0,0.406357281685902
557,Kyrgyzstan,2018,0,0,0.42965224417757203
558,Kyrgyzstan,2019,0,1,0.5004129268515899
559,Kyrgyzstan,2020,0,0,0.3984183425522726
560,Uzbekistan,2017,0,0,0.11963967973895462
561,Uzbekistan,2018,0,0,0.11728183600942949
562,Uzbekistan,2019,0,0,0.13820335675688727
563,Uzbekistan,2020,0,0,0.1471597825827821
564,Kazakhstan,2017,0,0,0.37089052761434277
565,Kazakhstan,2018,0,0,0.37486899558193665
566,Kazakhstan,2019,0,0,0.253516363290085
567,Kazakhstan,2020,0,0,0.26949738198941436
568,China,2017,1,1,0.8595911421801655
569,China,2018,1,1,0.8686135674413311
570,China,2019,0,1,0.8631099366513911
571,China,2020,0,1,0.8113520529816975
572,Mongolia,2017,0,0,0.015414475084810865
573,Mongolia,2018,0,0,0.016426378751581792
574,Mongolia,2019,0,0,0.020937354501495597
575,Mongolia,2020,0,0,0.020348341744341247
576,South Korea,2017,0,0,0.04891418613975928
577,South Korea,2018,0,0,0.05138733332920006
578,South Korea,2019,0,0,0.07542571110594758
579,South Korea,2020,0,0,0.06267851484105218
580,Japan,2017,0,0,0.17806474276716427
581,Japan,2018,0,0,0.2243587225886038
582,Japan,2019,0,0,0.23445810213588933
583,Japan,2020,0,0,0.23622801364031412
584,India,2017,1,1,0.9983919644049791
585,India,2018,1,1,0.9959030263518818
