,country,year,d_protest,preds,preds_proba
513,Liberia,2021,0,0,0.06493506493506493
514,Liberia,2022,0,0,0.06060606060606061
515,Liberia,2023,1,0,0.0735930735930736
516,Libya,2017,1,1,0.9090909090909091
517,Libya,2018,1,1,0.9047619047619048
518,Libya,2019,1,1,0.8398268398268398
519,Libya,2020,1,1,0.7316017316017316
520,Libya,2021,1,1,0.7186147186147186
521,Libya,2022,1,1,0.683982683982684
522,Libya,2023,1,1,0.6753246753246753
523,Lithuania,2020,1,1,0.6493506493506493
524,Lithuania,2021,1,1,0.6406926406926406
525,Lithuania,2022,1,1,0.6406926406926406
526,Lithuania,2023,1,1,0.6623376623376623
527,Luxembourg,2020,1,1,0.6060606060606061
528,Luxembourg,2021,1,1,0.6060606060606061
529,Luxembourg,2022,1,1,0.6103896103896104
530,Luxembourg,2023,1,1,0.5930735930735931
531,Madagascar,2017,0,1,0.5324675324675324
532,Madagascar,2018,0,1,0.5411255411255411
533,Madagascar,2019,1,0,0.47619047619047616
534,Madagascar,2020,1,0,0.4935064935064935
535,Madagascar,2021,1,0,0.48484848484848486
536,Madagascar,2022,1,0,0.4588744588744589
537,Madagascar,2023,1,0,0.42424242424242425
538,Malawi,2017,0,0,0.15584415584415584
539,Malawi,2018,0,0,0.16017316017316016
540,Malawi,2019,1,0,0.19913419913419914
541,Malawi,2020,1,0,0.23376623376623376
542,Malawi,2021,1,0,0.2554112554112554
543,Malawi,2022,1,0,0.2813852813852814
544,Malawi,2023,1,0,0.30735930735930733
545,Malaysia,2018,1,1,0.70995670995671
546,Malaysia,2019,1,1,0.7229437229437229
547,Malaysia,2020,1,1,0.7229437229437229
548,Malaysia,2021,1,1,0.7272727272727273
549,Malaysia,2022,1,1,0.7316017316017316
550,Malaysia,2023,1,1,0.696969696969697
551,Maldives,2020,1,0,0.3246753246753247
552,Maldives,2021,1,0,0.4025974025974026
553,Maldives,2022,1,0,0.47186147186147187
554,Maldives,2023,1,1,0.5324675324675324
555,Mali,2017,0,0,0.07792207792207792
556,Mali,2018,1,0,0.11688311688311688
557,Mali,2019,1,0,0.12987012987012986
558,Mali,2020,1,0,0.1645021645021645
559,Mali,2021,1,0,0.17316017316017315
560,Mali,2022,1,0,0.16883116883116883
