,country,year,d_terror,preds_proba
575,Mongolia,2020,0,0.13183240452118983
576,South Korea,2017,0,0.07817799609280687
577,South Korea,2018,0,0.08435514124587651
578,South Korea,2019,0,0.09579855309536854
579,South Korea,2020,0,0.0996113165622738
580,Japan,2017,0,0.3285162175678794
581,Japan,2018,0,0.33284388656138114
582,Japan,2019,0,0.2556398923256907
583,Japan,2020,0,0.25947429424060664
584,India,2017,1,0.9509444314575376
585,India,2018,1,0.9450682954396842
586,India,2019,1,0.9227984059989899
587,India,2020,1,0.9203717529346029
588,Bhutan,2017,0,0.12503376960199528
589,Bhutan,2018,0,0.135348543130688
590,Bhutan,2019,0,0.1264979131770066
591,Bhutan,2020,0,0.12189937866763895
592,Pakistan,2017,1,0.965757853776999
593,Pakistan,2018,1,0.9463532066644937
594,Pakistan,2019,1,0.9493576221874138
595,Pakistan,2020,1,0.9309745636164568
596,Bangladesh,2017,1,0.8847312917143789
597,Bangladesh,2018,1,0.8622068741351312
598,Bangladesh,2019,1,0.8841261342610921
599,Bangladesh,2020,0,0.8713930170275186
600,Myanmar (Burma),2017,1,0.8772649335032322
601,Myanmar (Burma),2018,1,0.8679656173942253
602,Myanmar (Burma),2019,1,0.8526674039239436
603,Myanmar (Burma),2020,1,0.8563531754856237
604,Sri Lanka,2017,1,0.48134190519894876
605,Sri Lanka,2018,1,0.5427483117367062
606,Sri Lanka,2019,1,0.5199703107393153
607,Sri Lanka,2020,0,0.527073184066493
608,Maldives,2017,1,0.2428937321357712
609,Maldives,2018,0,0.3792063993757661
610,Maldives,2019,0,0.3348449287262028
611,Maldives,2020,0,0.3428050068671404
612,Nepal,2017,1,0.6931994304807202
613,Nepal,2018,0,0.6824345928200795
614,Nepal,2019,1,0.5776495820949343
615,Nepal,2020,1,0.6510480553528792
616,Thailand,2017,1,0.9206049562063003
617,Thailand,2018,1,0.9209704510437225
618,Thailand,2019,1,0.8732140746007999
619,Thailand,2020,1,0.8752680465138344
620,Cambodia (Kampuchea),2017,0,0.18151561148657872
621,Cambodia (Kampuchea),2018,0,0.24212774438090107
622,Cambodia (Kampuchea),2019,0,0.2527686509347463
623,Cambodia (Kampuchea),2020,0,0.2591305525709403
624,Laos,2017,1,0.3404322282676334
